Loot Monitor | Starting Chest Checking
26 16 | C: 0x4d653a Ref: 16770764
15 61 | C: 0x4b4232 Ref: 0x488DD8
16 61 | C: 0x4b4232 Ref: 0x488DD8
17 61 | C: 0x4b4232 Ref: 0x488DD8
18 61 | C: 0x4b4234 Ref: 0x488DD8
27 16 | C: 0x4d653a Ref: 16770764
28 16 | C: 0x52683d Ref: 16770764
29 16 | C: 0x36662f Ref: 16770764
30 16 | C: 0x576a41 Ref: 16770764
31 16 | C: 0x4b6036 Ref: 16770764
1 62 | C: 0x605342 Ref: 0x488DD8
2 62 | C: 0x605242 Ref: 0x488DD8
3 62 | C: 0x5f5241 Ref: 0x488DD8
4 62 | C: 0x5e5241 Ref: 0x488DD8
32 16 | C: 0x486437 Ref: 16770764
33 16 | C: 0x46622a Ref: 16770764
34 16 | C: 0x416432 Ref: 16770764
1 17 | C: 0x0c0600 Ref: 16770764
8 62 | C: 0x5a4e3d Ref: 0x488DD8
9 62 | C: 0x594d3c Ref: 0x488DD8
10 62 | C: 0x574b3b Ref: 0x488DD8
11 62 | C: 0x534838 Ref: 0x488DD8
12 62 | C: 0x514636 Ref: 0x488DD8
14 17 | C: 0x50623a Ref: 16770764
15 17 | C: 0x51633a Ref: 16770764
16 17 | C: 0x466436 Ref: 16770764
17 17 | C: 0x416131 Ref: 16770764
13 62 | C: 0x4f4535 Ref: 0x488DD8
14 62 | C: 0x4d4334 Ref: 0x488DD8
15 62 | C: 0x4c4334 Ref: 0x488DD8
16 62 | C: 0x4b4232 Ref: 0x488DD8
18 17 | C: 0x28692d Ref: 16770764
19 17 | C: 0x4c5f35 Ref: 16770764
20 17 | C: 0x376935 Ref: 16770764
21 17 | C: 0x2f5c2c Ref: 16770764
22 17 | C: 0x2b6030 Ref: 16770764
17 62 | C: 0x4b4234 Ref: 0x488DD8
18 62 | C: 0x4c4334 Ref: 0x488DD8
19 62 | C: 0x4c4334 Ref: 0x488DD8
20 62 | C: 0x4d4334 Ref: 0x488DD8
23 17 | C: 0x50673d Ref: 16770764
24 17 | C: 0x3a6030 Ref: 16770764
25 17 | C: 0x4b4a3f Ref: 16770764
26 17 | C: 0x324f2f Ref: 16770764
27 17 | C: 0x4f663c Ref: 16770764
13 63 | C: 0x524736 Ref: 0x488DD8
14 63 | C: 0x4f4535 Ref: 0x488DD8
15 63 | C: 0x4e4435 Ref: 0x488DD8
16 63 | C: 0x4c4334 Ref: 0x488DD8
28 17 | C: 0x285d2d Ref: 16770764
29 17 | C: 0x466238 Ref: 16770764
30 17 | C: 0x50673f Ref: 16770764
31 17 | C: 0x4e6237 Ref: 16770764
20 63 | C: 0x4e4334 Ref: 0x488DD8
1 64 | C: 0x605342 Ref: 0x488DD8
2 64 | C: 0x605342 Ref: 0x488DD8
3 64 | C: 0x5f5342 Ref: 0x488DD8
4 64 | C: 0x5f5342 Ref: 0x488DD8
10 18 | C: 0x426331 Ref: 16770764
11 18 | C: 0x1f5521 Ref: 16770764
12 18 | C: 0x4e6237 Ref: 16770764
13 18 | C: 0x506237 Ref: 16770764
5 64 | C: 0x5f5342 Ref: 0x488DD8
6 64 | C: 0x5f5342 Ref: 0x488DD8
7 64 | C: 0x5e5342 Ref: 0x488DD8
8 64 | C: 0x5e5241 Ref: 0x488DD8
14 18 | C: 0x21672b Ref: 16770764
15 18 | C: 0x52643a Ref: 16770764
16 18 | C: 0x54663d Ref: 16770764
17 18 | C: 0x26642c Ref: 16770764
18 18 | C: 0x235f2b Ref: 16770764
9 64 | C: 0x5d503f Ref: 0x488DD8
10 64 | C: 0x5c4f3e Ref: 0x488DD8
11 64 | C: 0x5a4d3d Ref: 0x488DD8
12 64 | C: 0x574b3b Ref: 0x488DD8
19 18 | C: 0x4b5e34 Ref: 16770764
20 18 | C: 0x275c27 Ref: 16770764
21 18 | C: 0x50693d Ref: 16770764
22 18 | C: 0x545246 Ref: 16770764
23 18 | C: 0x50673c Ref: 16770764
13 64 | C: 0x544a3a Ref: 0x488DD8
14 64 | C: 0x514737 Ref: 0x488DD8
15 64 | C: 0x504536 Ref: 0x488DD8
16 64 | C: 0x4e4435 Ref: 0x488DD8
29 18 | C: 0x556a42 Ref: 16770764
30 18 | C: 0x576942 Ref: 16770764
31 18 | C: 0x4f6438 Ref: 16770764
32 18 | C: 0x4e663b Ref: 16770764
33 18 | C: 0x284f23 Ref: 16770764
10 65 | C: 0x5d513f Ref: 0x488DD8
11 65 | C: 0x5c4f3f Ref: 0x488DD8
12 65 | C: 0x594e3d Ref: 0x488DD8
13 65 | C: 0x584c3b Ref: 0x488DD8
7 19 | C: 0x1c3017 Ref: 16770764
8 19 | C: 0x3d7c3c Ref: 16770764
9 19 | C: 0x2b702c Ref: 16770764
10 19 | C: 0x23682a Ref: 16770764
19 65 | C: 0x504535 Ref: 0x488DD8
20 65 | C: 0x504435 Ref: 0x488DD8
1 66 | C: 0x615343 Ref: 0x488DD8
2 66 | C: 0x615443 Ref: 0x488DD8
3 66 | C: 0x605443 Ref: 0x488DD8
26 19 | C: 0x3c6030 Ref: 16770764
27 19 | C: 0x356732 Ref: 16770764
28 19 | C: 0x556942 Ref: 16770764
29 19 | C: 0x576a44 Ref: 16770764
12 67 | C: 0x5c5141 Ref: 0x488DD8
13 67 | C: 0x5c503e Ref: 0x488DD8
14 67 | C: 0x5a4e3d Ref: 0x488DD8
15 67 | C: 0x584c3c Ref: 0x488DD8
30 19 | C: 0x5b6d45 Ref: 16770764
31 19 | C: 0x3a5c2c Ref: 16770764
32 19 | C: 0x526942 Ref: 16770764
33 19 | C: 0x546842 Ref: 16770764
16 67 | C: 0x574b3b Ref: 0x488DD8
17 67 | C: 0x554a3a Ref: 0x488DD8
18 67 | C: 0x544838 Ref: 0x488DD8
19 67 | C: 0x524737 Ref: 0x488DD8
34 19 | C: 0x3c602d Ref: 16770764
1 20 | C: 0x0c0a06 Ref: 16770764
2 20 | C: 0x0a0a06 Ref: 16770764
3 20 | C: 0x0a0a06 Ref: 16770764
4 20 | C: 0x0a0a06 Ref: 16770764
5 68 | C: 0x625443 Ref: 0x488DD8
6 68 | C: 0x625443 Ref: 0x488DD8
7 68 | C: 0x615443 Ref: 0x488DD8
8 68 | C: 0x615443 Ref: 0x488DD8
14 20 | C: 0x3e6032 Ref: 16770764
15 20 | C: 0x4a6538 Ref: 16770764
16 20 | C: 0x347237 Ref: 16770764
17 20 | C: 0x4a673b Ref: 16770764
9 68 | C: 0x5f5343 Ref: 0x488DD8
10 68 | C: 0x5f5342 Ref: 0x488DD8
11 68 | C: 0x5f5242 Ref: 0x488DD8
12 68 | C: 0x5d5241 Ref: 0x488DD8
13 68 | C: 0x5d513f Ref: 0x488DD8
18 20 | C: 0x3d7437 Ref: 16770764
19 20 | C: 0x3a6f34 Ref: 16770764
20 20 | C: 0x465c34 Ref: 16770764
21 20 | C: 0x50673d Ref: 16770764
5 69 | C: 0x605443 Ref: 0x488DD8
6 69 | C: 0x605443 Ref: 0x488DD8
7 69 | C: 0x615443 Ref: 0x488DD8
8 69 | C: 0x615443 Ref: 0x488DD8
9 69 | C: 0x5f5343 Ref: 0x488DD8
8 21 | C: 0x20311a Ref: 16770764
9 21 | C: 0x3c6835 Ref: 16770764
10 21 | C: 0x3c6130 Ref: 16770764
11 21 | C: 0x476638 Ref: 16770764
10 69 | C: 0x5f5342 Ref: 0x488DD8
11 69 | C: 0x5f5342 Ref: 0x488DD8
12 69 | C: 0x5e5241 Ref: 0x488DD8
13 69 | C: 0x5d513f Ref: 0x488DD8
16 21 | C: 0x58673f Ref: 16770764
17 21 | C: 0x3e6a37 Ref: 16770764
18 21 | C: 0x4a6035 Ref: 16770764
19 21 | C: 0x4c6036 Ref: 16770764
20 21 | C: 0x475e36 Ref: 16770764
14 69 | C: 0x5c513f Ref: 0x488DD8
15 69 | C: 0x5b4f3f Ref: 0x488DD8
16 69 | C: 0x594e3d Ref: 0x488DD8
17 69 | C: 0x584d3d Ref: 0x488DD8
21 21 | C: 0x416134 Ref: 16770764
22 21 | C: 0x445f36 Ref: 16770764
23 21 | C: 0x546b43 Ref: 16770764
24 21 | C: 0x3a693c Ref: 16770764
25 21 | C: 0x377243 Ref: 16770764
20 70 | C: 0x574c3c Ref: 0x488DD8
1 71 | C: 0x615443 Ref: 0x488DD8
2 71 | C: 0x615443 Ref: 0x488DD8
3 71 | C: 0x605443 Ref: 0x488DD8
26 21 | C: 0x4a653c Ref: 16770764
27 21 | C: 0x4c5f3b Ref: 16770764
28 21 | C: 0x4d653c Ref: 16770764
29 21 | C: 0x5c6c47 Ref: 16770764
30 21 | C: 0x5f6f4a Ref: 16770764
4 71 | C: 0x605443 Ref: 0x488DD8
5 71 | C: 0x605443 Ref: 0x488DD8
6 71 | C: 0x605443 Ref: 0x488DD8
7 71 | C: 0x605443 Ref: 0x488DD8
34 21 | C: 0x50673b Ref: 16770764
1 22 | C: 0x0a0c06 Ref: 16770764
2 22 | C: 0x0a0c06 Ref: 16770764
3 22 | C: 0x0a0a06 Ref: 16770764
4 22 | C: 0x0a0c06 Ref: 16770764
11 71 | C: 0x5e5242 Ref: 0x488DD8
12 71 | C: 0x5d5241 Ref: 0x488DD8
13 71 | C: 0x5d5141 Ref: 0x488DD8
14 71 | C: 0x5c5141 Ref: 0x488DD8
28 22 | C: 0x4c6438 Ref: 16770764
29 22 | C: 0x5b6d47 Ref: 16770764
30 22 | C: 0x5f6f4b Ref: 16770764
31 22 | C: 0x626f4c Ref: 16770764
15 71 | C: 0x5b503f Ref: 0x488DD8
16 71 | C: 0x5a503f Ref: 0x488DD8
17 71 | C: 0x594f3e Ref: 0x488DD8
18 71 | C: 0x594e3e Ref: 0x488DD8
19 71 | C: 0x584e3d Ref: 0x488DD8
2 23 | C: 0x0a0c06 Ref: 16770764
3 23 | C: 0x0a0a06 Ref: 16770764
4 23 | C: 0x0a0c06 Ref: 16770764
5 23 | C: 0x0a0c06 Ref: 16770764
20 71 | C: 0x584d3d Ref: 0x488DD8
1 72 | C: 0x615443 Ref: 0x488DD8
2 72 | C: 0x615443 Ref: 0x488DD8
3 72 | C: 0x605443 Ref: 0x488DD8
4 72 | C: 0x605343 Ref: 0x488DD8
21 23 | C: 0x3f4f2c Ref: 16770764
22 23 | C: 0x4d613a Ref: 16770764
23 23 | C: 0x455d37 Ref: 16770764
24 23 | C: 0x374e31 Ref: 16770764
5 72 | C: 0x605443 Ref: 0x488DD8
6 72 | C: 0x605443 Ref: 0x488DD8
7 72 | C: 0x605443 Ref: 0x488DD8
8 72 | C: 0x5f5442 Ref: 0x488DD8
9 72 | C: 0x5f5342 Ref: 0x488DD8
25 23 | C: 0x3b5232 Ref: 16770764
26 23 | C: 0x4e633d Ref: 16770764
27 23 | C: 0x4d6436 Ref: 16770764
28 23 | C: 0x3b5d37 Ref: 16770764
15 72 | C: 0x5b5141 Ref: 0x488DD8
16 72 | C: 0x5a503f Ref: 0x488DD8
17 72 | C: 0x59503f Ref: 0x488DD8
18 72 | C: 0x594f3f Ref: 0x488DD8
29 23 | C: 0x375f37 Ref: 16770764
30 23 | C: 0x325f34 Ref: 16770764
31 23 | C: 0x636f4d Ref: 16770764
32 23 | C: 0x4c6435 Ref: 16770764
33 23 | C: 0x375f35 Ref: 16770764
19 72 | C: 0x594f3e Ref: 0x488DD8
20 72 | C: 0x594e3e Ref: 0x488DD8
1 73 | C: 0x605343 Ref: 0x488DD8
2 73 | C: 0x605343 Ref: 0x488DD8
34 23 | C: 0x52683d Ref: 16770764
1 24 | C: 0x0a0c06 Ref: 16770764
2 24 | C: 0x0a0a06 Ref: 16770764
3 24 | C: 0x0a0a06 Ref: 16770764
4 24 | C: 0x0a0c06 Ref: 16770764
3 73 | C: 0x5f5343 Ref: 0x488DD8
4 73 | C: 0x5f5342 Ref: 0x488DD8
5 73 | C: 0x5f5342 Ref: 0x488DD8
6 73 | C: 0x5f5442 Ref: 0x488DD8
20 24 | C: 0x3e542f Ref: 16770764
21 24 | C: 0x4b613b Ref: 16770764
22 24 | C: 0x4a603a Ref: 16770764
23 24 | C: 0x50594a Ref: 16770764
7 73 | C: 0x5f5343 Ref: 0x488DD8
8 73 | C: 0x5e5342 Ref: 0x488DD8
9 73 | C: 0x5f5342 Ref: 0x488DD8
10 73 | C: 0x5e5342 Ref: 0x488DD8
11 73 | C: 0x5e5242 Ref: 0x488DD8
20 25 | C: 0x4b6438 Ref: 16770764
21 25 | C: 0x4e643c Ref: 16770764
22 25 | C: 0x4d633c Ref: 16770764
12 73 | C: 0x5e5242 Ref: 0x488DD8
13 73 | C: 0x5c5242 Ref: 0x488DD8
14 73 | C: 0x5c5141 Ref: 0x488DD8
15 73 | C: 0x5c5141 Ref: 0x488DD8
16 73 | C: 0x5b5141 Ref: 0x488DD8
6 26 | C: 0x140c08 Ref: 16770764
7 26 | C: 0x110c08 Ref: 16770764
8 26 | C: 0x0e0c06 Ref: 16770764
9 26 | C: 0x0e0c06 Ref: 16770764
17 73 | C: 0x5b503f Ref: 0x488DD8
18 73 | C: 0x5b503f Ref: 0x488DD8
19 73 | C: 0x5a503f Ref: 0x488DD8
20 73 | C: 0x5a503f Ref: 0x488DD8
1 74 | C: 0x5f5443 Ref: 0x488DD8
16 26 | C: 0x4b653b Ref: 16770764
17 26 | C: 0x4d633a Ref: 16770764
18 26 | C: 0x4d643b Ref: 16770764
19 26 | C: 0x3c5831 Ref: 16770764
8 74 | C: 0x5e5342 Ref: 0x488DD8
9 74 | C: 0x5e5342 Ref: 0x488DD8
10 74 | C: 0x5f5342 Ref: 0x488DD8
11 74 | C: 0x5e5242 Ref: 0x488DD8
12 74 | C: 0x5e5242 Ref: 0x488DD8
2 27 | C: 0x2fb242 Ref: 16770764
3 27 | C: 0x232f0e Ref: 16770764
4 27 | C: 0x1f110a Ref: 16770764
5 27 | C: 0x1d130c Ref: 16770764
17 74 | C: 0x5d5141 Ref: 0x488DD8
18 74 | C: 0x5c5141 Ref: 0x488DD8
19 74 | C: 0x5c5141 Ref: 0x488DD8
20 74 | C: 0x5c5141 Ref: 0x488DD8
1 75 | C: 0x5f5342 Ref: 0x488DD8
32 27 | C: 0xa49580 Ref: 16770764
33 27 | C: 0x55693e Ref: 16770764
34 27 | C: 0x57673e Ref: 16770764
1 28 | C: 0x914503 Ref: 16770764
13 75 | C: 0x5e5342 Ref: 0x488DD8
14 75 | C: 0x5e5242 Ref: 0x488DD8
15 75 | C: 0x5d5342 Ref: 0x488DD8
16 75 | C: 0x5d5242 Ref: 0x488DD8
2 28 | C: 0x755303 Ref: 16770764
3 28 | C: 0x7a3d03 Ref: 16770764
4 28 | C: 0x3e1c06 Ref: 16770764
5 28 | C: 0x1a0f08 Ref: 16770764
6 28 | C: 0x1a110c Ref: 16770764
17 75 | C: 0x5f5242 Ref: 0x488DD8
18 75 | C: 0x5e5242 Ref: 0x488DD8
19 75 | C: 0x5e5241 Ref: 0x488DD8
20 75 | C: 0x5e5241 Ref: 0x488DD8
21 28 | C: 0x305531 Ref: 16770764
22 28 | C: 0x30512f Ref: 16770764
23 28 | C: 0x325331 Ref: 16770764
24 28 | C: 0x4f613e Ref: 16770764
25 28 | C: 0x676747 Ref: 16770764
17 76 | C: 0x605342 Ref: 0x488DD8
18 76 | C: 0x605242 Ref: 0x488DD8
19 76 | C: 0x605342 Ref: 0x488DD8
20 76 | C: 0x605342 Ref: 0x488DD8
26 28 | C: 0x6c6c4e Ref: 16770764
27 28 | C: 0x84795f Ref: 16770764
28 28 | C: 0x8b8066 Ref: 16770764
29 28 | C: 0x8d8169 Ref: 16770764
30 28 | C: 0x91866f Ref: 16770764
3 77 | C: 0x5e5242 Ref: 0x488DD8
4 77 | C: 0x5d5242 Ref: 0x488DD8
5 77 | C: 0x5d5242 Ref: 0x488DD8
6 77 | C: 0x5e5242 Ref: 0x488DD8
5 29 | C: 0x201108 Ref: 16770764
6 29 | C: 0x160e08 Ref: 16770764
7 29 | C: 0x17110a Ref: 16770764
8 29 | C: 0x0e0c06 Ref: 16770764
7 77 | C: 0x5e5242 Ref: 0x488DD8
8 77 | C: 0x5f5342 Ref: 0x488DD8
9 77 | C: 0x5e5242 Ref: 0x488DD8
10 77 | C: 0x5f5342 Ref: 0x488DD8
11 77 | C: 0x5f5242 Ref: 0x488DD8
9 29 | C: 0x0f110a Ref: 16770764
10 29 | C: 0x2f4a27 Ref: 16770764
11 29 | C: 0x374a30 Ref: 16770764
12 29 | C: 0x424735 Ref: 16770764
12 77 | C: 0x5f5342 Ref: 0x488DD8
13 77 | C: 0x5e5342 Ref: 0x488DD8
14 77 | C: 0x605342 Ref: 0x488DD8
15 77 | C: 0x5f5342 Ref: 0x488DD8
16 77 | C: 0x615342 Ref: 0x488DD8
13 29 | C: 0x41483a Ref: 16770764
14 29 | C: 0x414e3f Ref: 16770764
15 29 | C: 0x455344 Ref: 16770764
16 29 | C: 0x546951 Ref: 16770764
17 77 | C: 0x605342 Ref: 0x488DD8
18 77 | C: 0x625342 Ref: 0x488DD8
19 77 | C: 0x625343 Ref: 0x488DD8
20 77 | C: 0x625343 Ref: 0x488DD8
1 78 | C: 0x5e5342 Ref: 0x488DD8
11 30 | C: 0x8e896b Ref: 16770764
12 30 | C: 0x988e6f Ref: 16770764
13 30 | C: 0x8e8369 Ref: 16770764
14 30 | C: 0x8f876c Ref: 16770764
2 78 | C: 0x5e5242 Ref: 0x488DD8
3 78 | C: 0x5e5242 Ref: 0x488DD8
4 78 | C: 0x5d5242 Ref: 0x488DD8
5 78 | C: 0x5d5242 Ref: 0x488DD8
15 30 | C: 0x948b70 Ref: 16770764
16 30 | C: 0x928e71 Ref: 16770764
17 30 | C: 0x909075 Ref: 16770764
18 30 | C: 0x8c8d72 Ref: 16770764
19 30 | C: 0x818971 Ref: 16770764
11 79 | C: 0x5e5242 Ref: 0x488DD8
12 79 | C: 0x5f5342 Ref: 0x488DD8
13 79 | C: 0x5e5342 Ref: 0x488DD8
14 79 | C: 0x605342 Ref: 0x488DD8
21 30 | C: 0x7c836c Ref: 16770764
22 30 | C: 0x7a826b Ref: 16770764
23 30 | C: 0x838771 Ref: 16770764
24 30 | C: 0x7f8369 Ref: 16770764
15 79 | C: 0x5f5342 Ref: 0x488DD8
16 79 | C: 0x615342 Ref: 0x488DD8
17 79 | C: 0x605342 Ref: 0x488DD8
18 79 | C: 0x625343 Ref: 0x488DD8
19 79 | C: 0x625443 Ref: 0x488DD8
13 31 | C: 0x776e53 Ref: 16770764
14 31 | C: 0x897b63 Ref: 16770764
15 31 | C: 0x8b7e65 Ref: 16770764
16 31 | C: 0x958a6f Ref: 16770764
20 79 | C: 0x625443 Ref: 0x488DD8
Loot Monitor | Starting Color Compare
1 0 | C: 0xa4907d Ref: 0x488DD8
17 31 | C: 0x978a71 Ref: 16770764
18 31 | C: 0x958d72 Ref: 16770764
19 31 | C: 0x928a6b Ref: 16770764
20 31 | C: 0x8f886a Ref: 16770764
1 1 | C: 0xa48f7d Ref: 0x488DD8
2 1 | C: 0xa5937f Ref: 0x488DD8
3 1 | C: 0xa5937f Ref: 0x488DD8
4 1 | C: 0xa5917f Ref: 0x488DD8
21 31 | C: 0x908d6f Ref: 16770764
22 31 | C: 0x838565 Ref: 16770764
23 31 | C: 0x72805a Ref: 16770764
24 31 | C: 0x647f4f Ref: 16770764
8 1 | C: 0xa5937f Ref: 0x488DD8
9 1 | C: 0xa4927e Ref: 0x488DD8
10 1 | C: 0xa4937f Ref: 0x488DD8
11 1 | C: 0xa4937f Ref: 0x488DD8
12 1 | C: 0xa4937f Ref: 0x488DD8
31 31 | C: 0x31602c Ref: 16770764
32 31 | C: 0x5b6d47 Ref: 16770764
33 31 | C: 0x325824 Ref: 16770764
34 31 | C: 0x2f5724 Ref: 16770764
13 1 | C: 0xa3937f Ref: 0x488DD8
14 1 | C: 0xa2917b Ref: 0x488DD8
15 1 | C: 0xa3927e Ref: 0x488DD8
16 1 | C: 0xa29380 Ref: 0x488DD8
17 1 | C: 0xa29482 Ref: 0x488DD8
18 1 | C: 0xa29482 Ref: 0x488DD8
19 1 | C: 0xa19582 Ref: 0x488DD8
20 1 | C: 0xa19380 Ref: 0x488DD8
1 2 | C: 0xa69381 Ref: 0x488DD8
2 2 | C: 0xa69380 Ref: 0x488DD8
3 2 | C: 0xa6937f Ref: 0x488DD8
4 2 | C: 0xa69381 Ref: 0x488DD8
5 2 | C: 0xa48f7c Ref: 0x488DD8
6 2 | C: 0xa69482 Ref: 0x488DD8
7 2 | C: 0xa49482 Ref: 0x488DD8
8 2 | C: 0xa5937f Ref: 0x488DD8
Loot Monitor | Starting Color Compare
1 0 | C: 0x1a1103 Ref: 16770253
2 0 | C: 0x170f06 Ref: 16770253
9 2 | C: 0xa5927f Ref: 0x488DD8
10 2 | C: 0xa59480 Ref: 0x488DD8
11 2 | C: 0xa59481 Ref: 0x488DD8
12 2 | C: 0xa4937f Ref: 0x488DD8
13 2 | C: 0xa3917e Ref: 0x488DD8
22 0 | C: 0x2b4a23 Ref: 16770253
23 0 | C: 0x314e27 Ref: 16770253
24 0 | C: 0x325028 Ref: 16770253
25 0 | C: 0x314826 Ref: 16770253
4 3 | C: 0xa4917b Ref: 0x488DD8
5 3 | C: 0xa4907b Ref: 0x488DD8
6 3 | C: 0xa69480 Ref: 0x488DD8
7 3 | C: 0xa4927f Ref: 0x488DD8
26 0 | C: 0x3a4227 Ref: 16770253
27 0 | C: 0x3f412a Ref: 16770253
28 0 | C: 0x434228 Ref: 16770253
29 0 | C: 0x4d452d Ref: 16770253
30 0 | C: 0x554a36 Ref: 16770253
4 4 | C: 0xa38f78 Ref: 0x488DD8
5 4 | C: 0xa3907a Ref: 0x488DD8
6 4 | C: 0xa5927d Ref: 0x488DD8
7 4 | C: 0xa4927e Ref: 0x488DD8
8 4 | C: 0xa4907a Ref: 0x488DD8
14 1 | C: 0x0627b1 Ref: 16770253
15 1 | C: 0x0a1f82 Ref: 16770253
16 1 | C: 0x141613 Ref: 16770253
9 4 | C: 0xa5917d Ref: 0x488DD8
10 4 | C: 0xa4937f Ref: 0x488DD8
11 4 | C: 0xa59380 Ref: 0x488DD8
12 4 | C: 0xa5937f Ref: 0x488DD8
13 4 | C: 0xa3917d Ref: 0x488DD8
17 1 | C: 0x1d2819 Ref: 16770253
18 1 | C: 0x244821 Ref: 16770253
19 1 | C: 0x284e23 Ref: 16770253
20 1 | C: 0x2b4f23 Ref: 16770253
21 1 | C: 0x2a461f Ref: 16770253
14 4 | C: 0xa3937f Ref: 0x488DD8
15 4 | C: 0xa3927f Ref: 0x488DD8
16 4 | C: 0xa2937f Ref: 0x488DD8
17 4 | C: 0xa2937f Ref: 0x488DD8
22 1 | C: 0x304a23 Ref: 16770253
23 1 | C: 0x355127 Ref: 16770253
24 1 | C: 0x385228 Ref: 16770253
25 1 | C: 0x355026 Ref: 16770253
18 4 | C: 0xa19380 Ref: 0x488DD8
19 4 | C: 0xa19481 Ref: 0x488DD8
20 4 | C: 0xa29382 Ref: 0x488DD8
1 5 | C: 0xa69481 Ref: 0x488DD8
2 5 | C: 0xa48f7a Ref: 0x488DD8
26 1 | C: 0x3a4d27 Ref: 16770253
27 1 | C: 0x3b4d27 Ref: 16770253
28 1 | C: 0x444d2b Ref: 16770253
29 1 | C: 0x3e4828 Ref: 16770253
3 5 | C: 0xa38f76 Ref: 0x488DD8
4 5 | C: 0xa3907a Ref: 0x488DD8
5 5 | C: 0xa38f79 Ref: 0x488DD8
6 5 | C: 0xa5907a Ref: 0x488DD8
7 5 | C: 0xa4907d Ref: 0x488DD8
30 1 | C: 0x3d4728 Ref: 16770253
31 1 | C: 0x3a4a27 Ref: 16770253
32 1 | C: 0x3a4b24 Ref: 16770253
33 1 | C: 0x3c4623 Ref: 16770253
8 5 | C: 0xa4917e Ref: 0x488DD8
9 5 | C: 0xa5917d Ref: 0x488DD8
10 5 | C: 0xa5937f Ref: 0x488DD8
11 5 | C: 0xa49581 Ref: 0x488DD8
12 5 | C: 0xa59481 Ref: 0x488DD8
9 2 | C: 0x110f08 Ref: 16770253
10 2 | C: 0x0e0e08 Ref: 16770253
11 2 | C: 0x0a0e0a Ref: 16770253
12 2 | C: 0x0a0f36 Ref: 16770253
13 5 | C: 0xa4937f Ref: 0x488DD8
14 5 | C: 0xa3937e Ref: 0x488DD8
15 5 | C: 0xa3927f Ref: 0x488DD8
16 5 | C: 0xa29480 Ref: 0x488DD8
17 5 | C: 0xa29481 Ref: 0x488DD8
1 3 | C: 0x0a0c06 Ref: 16770253
2 3 | C: 0x0f0f06 Ref: 16770253
3 3 | C: 0x131106 Ref: 16770253
4 3 | C: 0x130f08 Ref: 16770253
7 6 | C: 0xa4917e Ref: 0x488DD8
8 6 | C: 0xa59480 Ref: 0x488DD8
9 6 | C: 0xa59481 Ref: 0x488DD8
10 6 | C: 0xa69480 Ref: 0x488DD8
5 3 | C: 0x130f06 Ref: 16770253
6 3 | C: 0x191106 Ref: 16770253
7 3 | C: 0x191106 Ref: 16770253
8 3 | C: 0x1c1306 Ref: 16770253
9 3 | C: 0x1c1406 Ref: 16770253
18 6 | C: 0xa29684 Ref: 0x488DD8
19 6 | C: 0xa39483 Ref: 0x488DD8
20 6 | C: 0xa19383 Ref: 0x488DD8
1 7 | C: 0xa38f7a Ref: 0x488DD8
32 3 | C: 0x2f2c1f Ref: 16770253
33 3 | C: 0x302c1d Ref: 16770253
34 3 | C: 0x2b2c1f Ref: 16770253
1 4 | C: 0x080a06 Ref: 16770253
2 7 | C: 0xa48f79 Ref: 0x488DD8
3 7 | C: 0xa28e75 Ref: 0x488DD8
4 7 | C: 0xa38e77 Ref: 0x488DD8
5 7 | C: 0xa4917c Ref: 0x488DD8
6 7 | C: 0xa6927e Ref: 0x488DD8
18 4 | C: 0x423c2b Ref: 16770253
19 4 | C: 0x443e2d Ref: 16770253
20 4 | C: 0x443f2d Ref: 16770253
21 4 | C: 0x423f2c Ref: 16770253
19 7 | C: 0xa19382 Ref: 0x488DD8
20 7 | C: 0xa29383 Ref: 0x488DD8
1 8 | C: 0xa4917f Ref: 0x488DD8
2 8 | C: 0xa5907c Ref: 0x488DD8
22 4 | C: 0x3a3a24 Ref: 16770253
23 4 | C: 0x3c3a26 Ref: 16770253
24 4 | C: 0x363521 Ref: 16770253
25 4 | C: 0x343120 Ref: 16770253
3 8 | C: 0xa58f7a Ref: 0x488DD8
4 8 | C: 0xa48f79 Ref: 0x488DD8
5 8 | C: 0xa48f79 Ref: 0x488DD8
6 8 | C: 0xa5917c Ref: 0x488DD8
7 8 | C: 0xa4927d Ref: 0x488DD8
15 5 | C: 0x2b311f Ref: 16770253
16 5 | C: 0x3b3c28 Ref: 16770253
17 5 | C: 0x3f3c2f Ref: 16770253
18 5 | C: 0x3a3728 Ref: 16770253
20 8 | C: 0xa29382 Ref: 0x488DD8
1 9 | C: 0xa4917e Ref: 0x488DD8
2 9 | C: 0xa5907a Ref: 0x488DD8
3 9 | C: 0xa5907a Ref: 0x488DD8
19 5 | C: 0x2f2f1f Ref: 16770253
20 5 | C: 0x30311f Ref: 16770253
21 5 | C: 0x32321f Ref: 16770253
22 5 | C: 0x32311d Ref: 16770253
23 5 | C: 0x363620 Ref: 16770253
13 10 | C: 0xa3917c Ref: 0x488DD8
14 10 | C: 0xa3907a Ref: 0x488DD8
15 10 | C: 0xa3927d Ref: 0x488DD8
16 10 | C: 0xa39581 Ref: 0x488DD8
34 5 | C: 0x24281d Ref: 16770253
1 6 | C: 0x080a06 Ref: 16770253
2 6 | C: 0x080a06 Ref: 16770253
3 6 | C: 0x080a06 Ref: 16770253
17 10 | C: 0xa39480 Ref: 0x488DD8
18 10 | C: 0xa49586 Ref: 0x488DD8
19 10 | C: 0xa29382 Ref: 0x488DD8
