Loot Monitor | Starting Chest Checking
13 8 | C: 0x6b6b57 Ref: 16770251
12 15 | C: 0x082d1a Ref: 0x488DD8
13 15 | C: 0x08311f Ref: 0x488DD8
14 15 | C: 0x0a2a1d Ref: 0x488DD8
15 15 | C: 0x0a281f Ref: 0x488DD8
16 15 | C: 0x0a2a1f Ref: 0x488DD8
14 8 | C: 0x6e6d58 Ref: 16770251
15 8 | C: 0x716e57 Ref: 16770251
16 8 | C: 0x716d57 Ref: 16770251
17 8 | C: 0x716e58 Ref: 16770251
6 16 | C: 0x062f19 Ref: 0x488DD8
7 16 | C: 0x063019 Ref: 0x488DD8
8 16 | C: 0x062d17 Ref: 0x488DD8
9 16 | C: 0x062f1a Ref: 0x488DD8
10 16 | C: 0x062d19 Ref: 0x488DD8
29 8 | C: 0x585444 Ref: 16770251
30 8 | C: 0x585545 Ref: 16770251
31 8 | C: 0x595747 Ref: 16770251
32 8 | C: 0x716c57 Ref: 16770251
5 17 | C: 0x033519 Ref: 0x488DD8
6 17 | C: 0x062b14 Ref: 0x488DD8
7 17 | C: 0x062b16 Ref: 0x488DD8
8 17 | C: 0x062c19 Ref: 0x488DD8
33 8 | C: 0x737059 Ref: 16770251
34 8 | C: 0x76705a Ref: 16770251
1 9 | C: 0x74715c Ref: 16770251
2 9 | C: 0x71705a Ref: 16770251
9 17 | C: 0x062c19 Ref: 0x488DD8
10 17 | C: 0x062d17 Ref: 0x488DD8
11 17 | C: 0x062f17 Ref: 0x488DD8
12 17 | C: 0x063119 Ref: 0x488DD8
13 17 | C: 0x082b1a Ref: 0x488DD8
8 9 | C: 0x585545 Ref: 16770251
9 9 | C: 0x585545 Ref: 16770251
10 9 | C: 0x585545 Ref: 16770251
11 9 | C: 0x65624f Ref: 16770251
14 17 | C: 0x08241a Ref: 0x488DD8
15 17 | C: 0x0a261c Ref: 0x488DD8
16 17 | C: 0x0a261c Ref: 0x488DD8
17 17 | C: 0x0a271d Ref: 0x488DD8
18 17 | C: 0x0a241a Ref: 0x488DD8
1 10 | C: 0x79745d Ref: 16770251
2 10 | C: 0x74705d Ref: 16770251
3 10 | C: 0x74705b Ref: 16770251
4 10 | C: 0x71705b Ref: 16770251
15 18 | C: 0x0c2b20 Ref: 0x488DD8
16 18 | C: 0x0a271d Ref: 0x488DD8
17 18 | C: 0x0a271d Ref: 0x488DD8
18 18 | C: 0x08261d Ref: 0x488DD8
5 10 | C: 0x746f59 Ref: 16770251
6 10 | C: 0x676451 Ref: 16770251
7 10 | C: 0x585746 Ref: 16770251
8 10 | C: 0x5a5747 Ref: 16770251
19 18 | C: 0x0c2c23 Ref: 0x488DD8
20 18 | C: 0x0f3128 Ref: 0x488DD8
1 19 | C: 0x032d13 Ref: 0x488DD8
2 19 | C: 0x062411 Ref: 0x488DD8
3 19 | C: 0x032611 Ref: 0x488DD8
28 10 | C: 0x716d58 Ref: 16770251
29 10 | C: 0x65634f Ref: 16770251
30 10 | C: 0x585545 Ref: 16770251
4 19 | C: 0x033216 Ref: 0x488DD8
5 19 | C: 0x033e1a Ref: 0x488DD8
6 19 | C: 0x033b1a Ref: 0x488DD8
7 19 | C: 0x06301c Ref: 0x488DD8
8 19 | C: 0x083121 Ref: 0x488DD8
5 11 | C: 0x716d57 Ref: 16770251
6 11 | C: 0x5b5847 Ref: 16770251
7 11 | C: 0x5a5847 Ref: 16770251
8 11 | C: 0x5a5746 Ref: 16770251
1 20 | C: 0x033617 Ref: 0x488DD8
2 20 | C: 0x033619 Ref: 0x488DD8
3 20 | C: 0x032d13 Ref: 0x488DD8
4 20 | C: 0x063117 Ref: 0x488DD8
13 11 | C: 0x71705a Ref: 16770251
14 11 | C: 0x76725c Ref: 16770251
15 11 | C: 0x736e5a Ref: 16770251
16 11 | C: 0x72675d Ref: 16770251
9 20 | C: 0x0a3626 Ref: 0x488DD8
10 20 | C: 0x06341d Ref: 0x488DD8
11 20 | C: 0x033719 Ref: 0x488DD8
12 20 | C: 0x062f17 Ref: 0x488DD8
13 20 | C: 0x0a2c1f Ref: 0x488DD8
7 12 | C: 0x5b5a47 Ref: 16770251
8 12 | C: 0x5d5847 Ref: 16770251
9 12 | C: 0x746e58 Ref: 16770251
10 12 | C: 0x766f59 Ref: 16770251
6 21 | C: 0x082d1d Ref: 0x488DD8
7 21 | C: 0x113a2c Ref: 0x488DD8
8 21 | C: 0x26473d Ref: 0x488DD8
9 21 | C: 0x113c2c Ref: 0x488DD8
15 12 | C: 0x5f5d5c Ref: 16770251
16 12 | C: 0x5b5b5b Ref: 16770251
17 12 | C: 0x5b5b5b Ref: 16770251
18 12 | C: 0x5b5b5b Ref: 16770251
16 21 | C: 0x0c3227 Ref: 0x488DD8
17 21 | C: 0x0a3123 Ref: 0x488DD8
18 21 | C: 0x0a3524 Ref: 0x488DD8
19 21 | C: 0x11382c Ref: 0x488DD8
20 21 | C: 0x1d3f37 Ref: 0x488DD8
14 13 | C: 0x5b5b5b Ref: 16770251
15 13 | C: 0x5b5b5b Ref: 16770251
16 13 | C: 0x5b5b5b Ref: 16770251
17 13 | C: 0x5b5b5b Ref: 16770251
14 22 | C: 0x063b1f Ref: 0x488DD8
15 22 | C: 0x083623 Ref: 0x488DD8
16 22 | C: 0x0a3426 Ref: 0x488DD8
17 22 | C: 0x083123 Ref: 0x488DD8
34 13 | C: 0x5d5a4a Ref: 16770251
1 14 | C: 0x79755f Ref: 16770251
2 14 | C: 0x77745f Ref: 16770251
3 14 | C: 0x74755d Ref: 16770251
18 22 | C: 0x082d20 Ref: 0x488DD8
19 22 | C: 0x0a3124 Ref: 0x488DD8
20 22 | C: 0x11372c Ref: 0x488DD8
1 23 | C: 0x06351a Ref: 0x488DD8
4 14 | C: 0x6e6b55 Ref: 16770251
5 14 | C: 0x5d5947 Ref: 16770251
6 14 | C: 0x5b5a4a Ref: 16770251
7 14 | C: 0x5d5847 Ref: 16770251
8 14 | C: 0x78715b Ref: 16770251
13 24 | C: 0x033114 Ref: 0x488DD8
14 24 | C: 0x033b17 Ref: 0x488DD8
15 24 | C: 0x033b1a Ref: 0x488DD8
16 24 | C: 0x063a20 Ref: 0x488DD8
24 14 | C: 0x967365 Ref: 16770251
25 14 | C: 0x5b5b5b Ref: 16770251
26 14 | C: 0x615e5c Ref: 16770251
27 14 | C: 0x6e6d59 Ref: 16770251
8 25 | C: 0x06301d Ref: 0x488DD8
9 25 | C: 0x033a1a Ref: 0x488DD8
10 25 | C: 0x03471d Ref: 0x488DD8
11 25 | C: 0x033e1c Ref: 0x488DD8
20 15 | C: 0x5b5b5b Ref: 16770251
21 15 | C: 0xab7c6a Ref: 16770251
22 15 | C: 0xdb9074 Ref: 16770251
23 15 | C: 0xbd836e Ref: 16770251
15 26 | C: 0x143828 Ref: 0x488DD8
16 26 | C: 0x1a3d2d Ref: 0x488DD8
17 26 | C: 0x0f3226 Ref: 0x488DD8
18 26 | C: 0x082b1c Ref: 0x488DD8
4 16 | C: 0x63604d Ref: 16770251
5 16 | C: 0x5d5a4a Ref: 16770251
6 16 | C: 0x5d5a48 Ref: 16770251
7 16 | C: 0x6c6752 Ref: 16770251
19 26 | C: 0x082d19 Ref: 0x488DD8
20 26 | C: 0x06351c Ref: 0x488DD8
1 27 | C: 0x0e352a Ref: 0x488DD8
2 27 | C: 0x0a3224 Ref: 0x488DD8
8 16 | C: 0x77735c Ref: 16770251
9 16 | C: 0x79745c Ref: 16770251
10 16 | C: 0x79745b Ref: 16770251
11 16 | C: 0x66655b Ref: 16770251
3 27 | C: 0x06321c Ref: 0x488DD8
4 27 | C: 0x06321a Ref: 0x488DD8
5 27 | C: 0x08341c Ref: 0x488DD8
6 27 | C: 0x0a3420 Ref: 0x488DD8
7 27 | C: 0x0a3221 Ref: 0x488DD8
11 17 | C: 0x605e5b Ref: 16770251
12 17 | C: 0x5b5b5b Ref: 16770251
13 17 | C: 0x5b5b5b Ref: 16770251
14 17 | C: 0x5b5b5b Ref: 16770251
16 27 | C: 0x264634 Ref: 0x488DD8
17 27 | C: 0x193b2b Ref: 0x488DD8
18 27 | C: 0x0c2f20 Ref: 0x488DD8
19 27 | C: 0x08281a Ref: 0x488DD8
15 17 | C: 0x5b5b5b Ref: 16770251
16 17 | C: 0x5b5b5b Ref: 16770251
17 17 | C: 0xb07e6b Ref: 16770251
18 17 | C: 0xdb9074 Ref: 16770251
20 27 | C: 0x082a1a Ref: 0x488DD8
1 28 | C: 0x08301f Ref: 0x488DD8
2 28 | C: 0x06341d Ref: 0x488DD8
3 28 | C: 0x06321a Ref: 0x488DD8
4 28 | C: 0x08321d Ref: 0x488DD8
31 17 | C: 0x79745b Ref: 16770251
32 17 | C: 0x7e775d Ref: 16770251
